Gene Name,0h-1,0h-2,0h-3,3h-1,3h-2,3h-3,9h-1,9h-2,9h-3,12h-1,12h-2,12h-3
Phex17331 OMT,-0.362096,0,-0.303932,-1.963127,0,-2.957619,0.167159,1.753625,0.480858,1.55269,-0.600794,0.401963
Phex17345 2-ODD,-0.152451,-0.01136,0.644833,-0.240233,0.080425,0.190991,-0.233637,0.285682,0.245665,-1.031589,-0.317109,0.01136
Phex17419 OMT,0.064722,1.006494,1.29447,-0.33681,-0.307688,-0.064722,0.297293,0.718434,-0.360191,-0.244972,0.804427,-0.210571
Phex17447 OMT,0.042185,0.866325,1.302101,0.597236,-0.839817,0.317606,-0.216881,-0.502013,0.329347,-0.126403,-0.042185,-0.156687
Phex17518 CYP,-0.198309,0.20632,-0.908719,0.241169,-1.70168,-1.181253,0.021719,1.219025,0,0.503274,0,-0.021873
Phex17768 OMT,0.463949,1.005898,1.12582,0.268982,-1.129642,0.441669,-0.068675,-0.13663,-0.041411,-0.031698,0.031698,-0.598963
Phex17770 CYP,-0.541378,0.007557,0.805628,-0.007557,-0.475604,-0.02495,0.112122,-0.454503,-0.396225,0.251742,0.079274,0.175524
Phex17799 OMT,-0.014585,1.06768,1.107172,-1.210297,-0.470549,0.799454,-1.807345,0.765975,-0.281717,0.47404,0.014585,-0.284577
Phex18268 OMT,-0.007808,0.39966,0.228096,-0.152677,-1.578806,-0.140022,0.007808,-0.028904,0.371087,0.792083,0.604233,-0.065801
Phex18375 CYP,-0.209538,0.46213,0.651691,0.686638,-0.627543,-0.432773,-0.784171,0.726314,0.343398,0.209538,-0.701668,-0.730752
Phex18598 OMT,-0.17597,0.652889,0.323886,-1.765642,-0.960752,-2.158445,0.042938,0.047678,-0.177714,0.022972,-0.022972,0.669951
Phex18649 CYP,0.510279,0.581268,0.821312,-0.441677,0.219816,0.550889,0.01246,-1.278515,-0.01246,-0.893316,-0.20386,-0.131677
Phex18692 OMT,-0.014178,-0.194724,0.376194,-0.432606,-1.28547,-0.476411,0.026233,-0.921333,0.630267,0.092062,0.333358,0.014178
